model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 99,2,16,250,0.001,64,0.18623830378055573,0.3346673846244812,0.43155336380004883,0.9155558347702026,0.053722869604825974,0.18725261092185974,0.2317819446325302,0.976314127445221,34.52501463890076
model 100,2,16,500,0.0001,128,0.25777190923690796,0.38772791624069214,0.5077124238014221,0.8831210732460022,0.05633418634533882,0.19256436824798584,0.23734824359416962,0.9751628637313843,43.7360417842865
model 101,2,16,500,0.0001,32,0.23835672438144684,0.37913015484809875,0.48821792006492615,0.8919253945350647,0.06230703741312027,0.19686734676361084,0.24961377680301666,0.972529411315918,106.95237016677856
model 102,2,16,500,0.0001,64,0.2445431500673294,0.3757982850074768,0.49451303482055664,0.8891186714172363,0.05149034783244133,0.18390338122844696,0.22691485285758972,0.9772984385490417,65.45794701576233
model 103,2,16,500,0.0005,128,0.1525372564792633,0.29922738671302795,0.39056017994880676,0.9308366775512695,0.05507088080048561,0.18767212331295013,0.23467186093330383,0.9757198095321655,42.79840564727783
model 104,2,16,500,0.0005,32,0.20768527686595917,0.3575056195259094,0.4557250142097473,0.9058303833007812,0.06861107051372528,0.2071353942155838,0.26193714141845703,0.9697500467300415,109.13373184204102
model 105,2,16,500,0.0005,64,0.17780309915542603,0.32620441913604736,0.42166703939437866,0.9193798899650574,0.0480070561170578,0.17302314937114716,0.21910512447357178,0.9788342118263245,64.28423261642456
model 106,2,16,500,0.001,128,0.14734366536140442,0.2944190204143524,0.3838537037372589,0.9331912994384766,0.0618903823196888,0.19772180914878845,0.24877777695655823,0.9727131724357605,41.91427516937256
model 107,2,16,500,0.001,32,0.20754560828208923,0.35831063985824585,0.4555717408657074,0.9058948755264282,0.05082882195711136,0.18360300362110138,0.2254524827003479,0.9775900840759277,164.74756336212158
model 108,2,16,500,0.001,64,0.15722742676734924,0.3040423095226288,0.39651912450790405,0.9287096858024597,0.06411461532115936,0.19665777683258057,0.25320863723754883,0.9717325568199158,65.29915833473206
model 109,2,32,100,0.0001,128,0.4767402410507202,0.5380905270576477,0.6904637813568115,0.7838364839553833,0.04893093928694725,0.17798352241516113,0.22120338678359985,0.9784268736839294,9.54146933555603
model 110,2,32,100,0.0001,32,0.3007544279098511,0.42822298407554626,0.5484108328819275,0.8636317253112793,0.044309101998806,0.1679724156856537,0.21049727499485016,0.9804645776748657,22.360761165618896
model 111,2,32,100,0.0001,64,0.30512535572052,0.429616779088974,0.5523815155029297,0.8616492748260498,0.040611106902360916,0.15755502879619598,0.20152197778224945,0.9820950031280518,14.409968852996826
model 112,2,32,100,0.0005,128,0.20228157937526703,0.3466961681842804,0.44975724816322327,0.9082812666893005,0.04861123487353325,0.17653679847717285,0.2204795628786087,0.9785678386688232,9.578838586807251
model 113,2,32,100,0.0005,32,0.21799874305725098,0.36444780230522156,0.46690335869789124,0.9011558890342712,0.03181616961956024,0.13795055449008942,0.1783708781003952,0.9859725832939148,22.759143829345703
model 114,2,32,100,0.0005,64,0.19468170404434204,0.34225818514823914,0.4412274956703186,0.9117277264595032,0.035129450261592865,0.15044385194778442,0.1874285191297531,0.9845117926597595,14.314019441604614
model 115,2,32,100,0.001,128,0.17411832511425018,0.3226475119590759,0.4172748923301697,0.9210510849952698,0.03604535758495331,0.14713044464588165,0.18985615670681,0.9841079711914062,9.614261865615845
model 116,2,32,100,0.001,32,0.17451517283916473,0.3277966380119324,0.41775012016296387,0.9208714962005615,0.03790224716067314,0.15317581593990326,0.19468499720096588,0.9832892417907715,22.90735673904419
model 117,2,32,100,0.001,64,0.16817894577980042,0.31752753257751465,0.41009625792503357,0.9237446784973145,0.03042697347700596,0.1389511674642563,0.17443329095840454,0.9865850806236267,14.444280862808228
model 118,2,32,250,0.0001,128,0.22657279670238495,0.367552250623703,0.47599664330482483,0.8972671031951904,0.03871261700987816,0.15573985874652863,0.19675521552562714,0.9829320311546326,23.46777868270874
model 119,2,32,250,0.0001,32,0.23572584986686707,0.3782859742641449,0.4855160713195801,0.8931174278259277,0.03892136365175247,0.15740050375461578,0.1972849816083908,0.9828399419784546,56.22719359397888
model 120,2,32,250,0.0001,64,0.22555816173553467,0.36410197615623474,0.4749296307563782,0.8977274894714355,0.03255895897746086,0.1437985897064209,0.1804410070180893,0.9856451153755188,34.28117775917053
model 121,2,32,250,0.0005,128,0.1386917382478714,0.28544655442237854,0.37241339683532715,0.9371145963668823,0.03413253650069237,0.14383792877197266,0.18474993109703064,0.9849513173103333,23.6214919090271
model 122,2,32,250,0.0005,32,0.1686265617609024,0.3182528614997864,0.4106416404247284,0.9235414266586304,0.03077501244843006,0.13798362016677856,0.17542807757854462,0.9864315986633301,55.118775367736816
model 123,2,32,250,0.0005,64,0.14795222878456116,0.295192688703537,0.38464558124542236,0.9329149127006531,0.04062512889504433,0.15521618723869324,0.2015567570924759,0.9820888042449951,36.11262798309326
model 124,2,32,250,0.001,128,0.11174377799034119,0.2565210163593292,0.33428099751472473,0.9493330717086792,0.0359310507774353,0.1462932974100113,0.1895548701286316,0.9841583967208862,22.49903964996338
