model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,train_R2,val_MSE,val_MAE,val_RMSE,val_R2,training_time
model 99,Smoothed Triangular,5,0.0005,128,500,0.10648760199546814,0.26383304595947266,0.32632437348365784,0.956536054611206,0.10340020060539246,0.25721457600593567,0.32155901193618774,0.9581171870231628,920.4408805370331
model 100,Gaussian,3,0.001,128,500,0.09720317274332047,0.25115782022476196,0.31177422404289246,0.9603254795074463,0.0927349403500557,0.243229478597641,0.30452412366867065,0.9624372124671936,61.39994215965271
model 101,Gaussian,4,0.001,128,500,0.0963856503367424,0.2513766586780548,0.3104603886604309,0.9606592655181885,0.09249378740787506,0.2449684590101242,0.30412790179252625,0.9625348448753357,328.67236399650574
model 102,Gaussian,5,0.001,128,500,0.09900548309087753,0.25427091121673584,0.31465137004852295,0.9595898389816284,0.09486809372901917,0.24628929793834686,0.3080066442489624,0.9615731239318848,942.4931147098541
model 103,Generalized Bell,3,0.001,128,500,0.09669695049524307,0.25114819407463074,0.3109613358974457,0.9605320692062378,0.09278908371925354,0.24391166865825653,0.30461299419403076,0.9624152779579163,64.6500449180603
model 104,Generalized Bell,4,0.001,128,500,0.09628951549530029,0.25028476119041443,0.31030550599098206,0.9606984853744507,0.09224450588226318,0.24318146705627441,0.30371779203414917,0.96263587474823,343.33748412132263
model 105,Generalized Bell,5,0.001,128,500,0.0950193703174591,0.24823400378227234,0.30825212597846985,0.9612168669700623,0.09248527884483337,0.2443830668926239,0.3041139245033264,0.9625383019447327,950.3975696563721
model 106,Smoothed Triangular,3,0.001,128,500,4.570643424987793,2.103184461593628,2.137906312942505,-0.8655554056167603,4.525455951690674,2.0936479568481445,2.127311944961548,-0.8330613374710083,68.28358006477356
model 107,Smoothed Triangular,4,0.001,128,500,0.10289999097585678,0.2599317729473114,0.32078027725219727,0.9580003023147583,0.09895879030227661,0.25228583812713623,0.3145771622657776,0.9599161744117737,327.176917552948
model 108,Smoothed Triangular,5,0.001,128,500,0.10406216979026794,0.2611770033836365,0.32258668541908264,0.9575260281562805,0.10056725144386292,0.2539862394332886,0.3171234130859375,0.9592646956443787,907.1228454113007
